Créneau / Salle,Amphi 1001,Amphi 1002,Amphi 502,Amphi 250,Amphi 350,S008,S002,A1,A2,S003,A3
Creneau_01 — Lundi 09/06 07h30-09h30,INF212 (50 pers),MAT212 (40 pers),PHY212 (35 pers),,,CHI212 (35 pers),,,,,
Creneau_02 — Lundi 09/06 10h00-12h00,MAT222 (40 pers),CHI222 (35 pers),,,,INF222 (50 pers),PHY222 (35 pers),,,,
Creneau_03 — Lundi 09/06 13h00-15h00,INF232 (50 pers),MAT232 (40 pers),CHI232 (35 pers),,,PHY232 (35 pers),,,,,
Creneau_04 — Lundi 09/06 15h30-17h30,MAT242 (40 pers),PHY242 (35 pers),,,,INF242 (50 pers),CHI242 (35 pers),,,,
Creneau_05 — Mardi 10/06 07h30-09h30,INF252 (50 pers),MAT252 (40 pers),CHI252 (35 pers),PHY252 (35 pers),,,,,,,
Creneau_06 — Mardi 10/06 10h00-12h00,INF262 (50 pers),,,,,MAT262 (40 pers),CHI262 (35 pers),PHY262 (35 pers),,,
Creneau_07 — Mardi 10/06 13h00-15h00,,,,,,INF272 (50 pers),,,,,
Creneau_08 — Mardi 10/06 15h30-17h30,FBL212 (50 pers),,,,,,,,,,
